['1552697219060', '192.168.50.145', '9.73', '10205FE010002BEB', '0.517', '1.685', '-10.594', '7.639', '-2.975', '2.608', '0.250', '0.104', '-0.409', '1029.79', '-83']
['1552697219132', '192.168.50.145', 'NA', 'NA', '0.331', '1.238', '-10.983', '2.257', '4.051', '3.281', '0.250', '0.100', '-0.411', '1029.74', 'NA']
['1552697219151', '192.168.50.145', '21.07', '10205FE010002C95', '0.331', '1.238', '-10.983', '2.257', '4.051', '3.281', '0.250', '0.100', '-0.411', '1029.74', '-93']
['1552697219169', '192.168.50.145', '9.71', '10205FE010002BEB', '0.828', '1.370', '-10.603', '-0.831', '-2.293', '4.086', '0.250', '0.109', '-0.405', '1029.71', '-84']
['1552697219266', '192.168.50.145', 'NA', 'NA', '0.589', '1.571', '-10.368', '4.847', '-3.990', '4.865', '0.251', '0.102', '-0.413', '1029.78', 'NA']
['1552697219291', '192.168.50.145', '21.05', '10205FE010002C95', '0.258', '1.415', '-10.658', '4.305', '0.359', '9.144', '0.254', '0.102', '-0.409', '1029.86', '-93']
['1552697219313', '192.168.50.145', 'NA', 'NA', '0.258', '1.415', '-10.658', '4.305', '0.359', '9.144', '0.254', '0.102', '-0.409', '1029.86', 'NA']
['1552697219380', '192.168.50.145', 'NA', 'NA', '0.834', '1.411', '-10.504', '0.709', '-2.074', '8.540', '0.255', '0.109', '-0.409', '1029.73', 'NA']
['1552697219425', '192.168.50.145', '38.24', '10205FE010002A7B', '0.834', '1.411', '-10.504', '0.709', '-2.074', '8.540', '0.255', '0.109', '-0.409', '1029.73', '-90']
['1552697219514', '192.168.50.145', 'NA', 'NA', '0.628', '1.360', '-10.487', '1.181', '-1.426', '7.744', '0.255', '0.101', '-0.408', '1029.70', 'NA']
['1552697219536', '192.168.50.145', '37.00', '10205FE010002A85', '0.709', '1.357', '-10.430', '2.642', '-0.376', '7.595', '0.256', '0.102', '-0.416', '1029.79', '-99']
['1552697219550', '192.168.50.145', '38.32', '10205FE010002A7B', '0.709', '1.357', '-10.430', '2.642', '-0.376', '7.595', '0.256', '0.102', '-0.416', '1029.79', '-88']
['1552697219564', '192.168.50.145', '21.05', '10205FE010002C95', '0.709', '1.357', '-10.430', '2.642', '-0.376', '7.595', '0.256', '0.102', '-0.416', '1029.79', '-95']
['1552697219644', '192.168.50.145', 'NA', 'NA', '0.903', '1.524', '-10.451', '3.316', '1.312', '5.784', '0.266', '0.098', '-0.406', '1029.79', 'NA']
['1552697219670', '192.168.50.145', 'NA', 'NA', '0.785', '1.458', '-10.508', '5.294', '3.001', '2.389', '0.257', '0.096', '-0.406', '1029.74', 'NA']
['1552697219691', '192.168.50.145', 'NA', 'NA', '0.785', '1.458', '-10.508', '5.294', '3.001', '2.389', '0.257', '0.096', '-0.406', '1029.74', 'NA']
['1552697219761', '192.168.50.145', 'NA', 'NA', '0.703', '1.330', '-10.714', '3.727', '3.430', '0.359', '0.263', '0.099', '-0.405', '1029.76', 'NA']
['1552697219780', '192.168.50.145', '38.25', '10205FE010002A7B', '0.703', '1.330', '-10.714', '3.727', '3.430', '0.359', '0.263', '0.099', '-0.405', '1029.76', '-88']
['1552697219794', '192.168.50.145', '21.05', '10205FE010002C95', '0.733', '1.564', '-10.495', '5.591', '-1.724', '2.406', '0.265', '0.099', '-0.406', '1029.69', '-95']
['1552697219876', '192.168.50.145', 'NA', 'NA', '0.548', '1.474', '-10.576', '5.565', '1.566', '4.392', '0.259', '0.101', '-0.415', '1029.75', 'NA']
['1552697219904', '192.168.50.145', '21.01', '10205FE010002C95', '0.548', '1.474', '-10.576', '5.565', '1.566', '4.392', '0.259', '0.101', '-0.415', '1029.75', '-96']
['1552697219918', '192.168.50.145', '9.70', '10205FE010002BEB', '0.776', '1.196', '-10.835', '3.404', '-1.076', '5.031', '0.261', '0.094', '-0.405', '1029.72', '-83']
['1552697220000', '192.168.50.145', 'NA', 'NA', '0.914', '1.314', '-10.819', '3.194', '-0.788', '4.909', '0.258', '0.100', '-0.423', '1029.68', 'NA']
['1552697220042', '192.168.50.145', '20.99', '10205FE010002C95', '0.914', '1.314', '-10.819', '3.194', '-0.788', '4.909', '0.258', '0.100', '-0.423', '1029.68', '-95']
['1552697220122', '192.168.50.145', 'NA', 'NA', '1.062', '1.281', '-10.238', '5.381', '0.026', '-0.394', '0.258', '0.091', '-0.410', '1029.73', 'NA']
['1552697220164', '192.168.50.145', 'NA', 'NA', '1.062', '1.281', '-10.238', '5.381', '0.026', '-0.394', '0.258', '0.091', '-0.410', '1029.73', 'NA']
['1552697220241', '192.168.50.145', 'NA', 'NA', '1.239', '0.876', '-10.836', '2.091', '0.560', '-5.617', '0.258', '0.097', '-0.414', '1029.79', 'NA']
['1552697220270', '192.168.50.145', '19.34', '10205FE0100031F3', '1.239', '0.876', '-10.836', '2.091', '0.560', '-5.617', '0.258', '0.097', '-0.414', '1029.79', '-103']
['1552697220284', '192.168.50.145', '37.14', '10205FE010002A85', '1.239', '0.876', '-10.836', '2.091', '0.560', '-5.617', '0.258', '0.097', '-0.414', '1029.79', '-100']
['1552697220352', '192.168.50.145', 'NA', 'NA', '1.088', '1.314', '-10.348', '3.666', '3.938', '-8.321', '0.260', '0.096', '-0.415', '1029.73', 'NA']
['1552697220378', '192.168.50.145', 'NA', 'NA', '1.052', '1.383', '-10.180', '10.045', '-5.407', '-10.614', '0.266', '0.097', '-0.406', '1029.73', 'NA']
['1552697220398', '192.168.50.145', 'NA', 'NA', '1.052', '1.383', '-10.180', '10.045', '-5.407', '-10.614', '0.266', '0.097', '-0.406', '1029.73', 'NA']
['1552697220479', '192.168.50.145', 'NA', 'NA', '0.736', '1.298', '-10.962', '6.676', '-11.296', '-8.969', '0.251', '0.105', '-0.409', '1029.80', 'NA']
['1552697220510', '192.168.50.145', 'NA', 'NA', '0.438', '1.553', '-10.959', '-11.025', '-9.004', '-3.666', '0.248', '0.104', '-0.411', '1029.79', 'NA']
['1552697220607', '192.168.50.145', 'NA', 'NA', '0.529', '3.101', '-10.512', '0.621', '-9.135', '-1.225', '0.246', '0.110', '-0.419', '1029.76', 'NA']
['1552697220637', '192.168.50.145', '9.72', '10205FE010002BEB', '-0.133', '3.190', '-10.721', '5.994', '-4.165', '6.037', '0.246', '0.108', '-0.410', '1029.78', '-84']
['1552697220719', '192.168.50.145', 'NA', 'NA', '-0.773', '1.687', '-11.956', '-7.350', '-3.071', '16.660', '0.248', '0.111', '-0.410', '1029.77', 'NA']
['1552697220750', '192.168.50.145', 'NA', 'NA', '-0.938', '1.944', '-10.924', '-3.255', '-1.899', '22.496', '0.246', '0.107', '-0.407', '1029.74', 'NA']
['1552697220825', '192.168.50.145', 'NA', 'NA', '-1.116', '1.359', '-10.361', '-3.780', '15.925', '33.268', '0.251', '0.101', '-0.405', '1029.70', 'NA']
['1552697220868', '192.168.50.145', 'NA', 'NA', '-1.116', '1.359', '-10.361', '-3.780', '15.925', '33.268', '0.251', '0.101', '-0.405', '1029.70', 'NA']
['1552697220989', '192.168.50.145', 'NA', 'NA', '0.066', '1.100', '-9.187', '2.039', '15.418', '19.407', '0.279', '0.091', '-0.405', '1029.68', 'NA']
['1552697221078', '192.168.50.145', 'NA', 'NA', '0.800', '2.060', '-9.823', '37.818', '-20.423', '-2.039', '0.271', '0.084', '-0.417', '1029.72', 'NA']
['1552697221100', '192.168.50.145', '38.17', '10205FE010002A7B', '0.800', '2.060', '-9.823', '37.818', '-20.423', '-2.039', '0.271', '0.084', '-0.417', '1029.72', '-88']
['1552697221115', '192.168.50.145', '20.94', '10205FE010002C95', '0.800', '2.060', '-9.823', '37.818', '-20.423', '-2.039', '0.271', '0.084', '-0.417', '1029.72', '-96']
['1552697221196', '192.168.50.145', 'NA', 'NA', '1.833', '1.153', '-11.135', '10.552', '6.090', '12.889', '0.279', '0.058', '-0.414', '1029.72', 'NA']
['1552697221222', '192.168.50.145', 'NA', 'NA', '1.833', '1.153', '-11.135', '10.552', '6.090', '12.889', '0.279', '0.058', '-0.414', '1029.72', 'NA']
['1552697221242', '192.168.50.145', 'NA', 'NA', '1.833', '1.153', '-11.135', '10.552', '6.090', '12.889', '0.279', '0.058', '-0.414', '1029.72', 'NA']
['1552697221310', '192.168.50.145', 'NA', 'NA', '2.590', '0.756', '-10.897', '8.584', '-4.384', '-1.741', '0.268', '0.059', '-0.413', '1029.76', 'NA']
['1552697221337', '192.168.50.145', 'NA', 'NA', '1.840', '2.471', '-9.525', '17.587', '3.080', '-3.535', '0.276', '0.050', '-0.414', '1029.70', 'NA']
['1552697221359', '192.168.50.145', 'NA', 'NA', '1.840', '2.471', '-9.525', '17.587', '3.080', '-3.535', '0.276', '0.050', '-0.414', '1029.70', 'NA']
['1552697221431', '192.168.50.145', 'NA', 'NA', '1.426', '3.322', '-9.722', '31.666', '-1.059', '-10.570', '0.276', '0.044', '-0.422', '1029.72', 'NA']
['1552697221452', '192.168.50.145', '3.29', '10205FE010002C92', '0.665', '2.832', '-10.550', '22.969', '-9.975', '-10.762', '0.275', '0.039', '-0.421', '1029.71', '-84']
['1552697221466', '192.168.50.145', '18.74', '10205FE0100031F3', '0.665', '2.832', '-10.550', '22.969', '-9.975', '-10.762', '0.275', '0.039', '-0.421', '1029.71', '-95']
['1552697221545', '192.168.50.145', 'NA', 'NA', '0.145', '2.605', '-11.081', '10.500', '-4.690', '-5.495', '0.270', '0.038', '-0.427', '1029.70', 'NA']
['1552697221568', '192.168.50.145', '3.30', '10205FE010002C92', '0.145', '2.605', '-11.081', '10.500', '-4.690', '-5.495', '0.270', '0.038', '-0.427', '1029.70', '-85']
['1552697221589', '192.168.50.145', 'NA', 'NA', '0.511', '2.747', '-10.822', '5.775', '-3.754', '-0.892', '0.268', '0.046', '-0.426', '1029.73', 'NA']
['1552697221689', '192.168.50.145', 'NA', 'NA', '0.245', '2.925', '-10.467', '-1.321', '-0.376', '6.370', '0.264', '0.038', '-0.427', '1029.74', 'NA']
['1552697221719', '192.168.50.145', 'NA', 'NA', '0.525', '3.161', '-10.271', '-1.418', '-1.969', '5.005', '0.265', '0.038', '-0.427', '1029.75', 'NA']
['1552697221814', '192.168.50.145', 'NA', 'NA', '0.720', '2.861', '-11.308', '-9.581', '-5.793', '9.196', '0.263', '0.042', '-0.426', '1029.67', 'NA']
['1552697221846', '192.168.50.145', '9.84', '10205FE010002BEB', '0.652', '3.584', '-11.163', '-4.069', '-6.387', '11.235', '0.259', '0.049', '-0.424', '1029.70', '-82']
['1552697221941', '192.168.50.145', 'NA', 'NA', '-0.882', '-0.741', '-14.085', '-6.396', '6.773', '13.493', '0.254', '0.033', '-0.432', '1029.79', 'NA']
['1552697221986', '192.168.50.145', '37.67', '10205FE010002A7B', '-0.882', '-0.741', '-14.085', '-6.396', '6.773', '13.493', '0.254', '0.033', '-0.432', '1029.79', '-89']
['1552697222060', '192.168.50.145', 'NA', 'NA', '0.112', '-0.920', '-12.112', '-39.121', '30.800', '10.062', '0.270', '0.045', '-0.424', '1029.79', 'NA']
['1552697222090', '192.168.50.145', 'NA', 'NA', '0.538', '0.206', '-9.763', '-16.817', '0.534', '1.418', '0.274', '0.066', '-0.414', '1029.64', 'NA']
['1552697222177', '192.168.50.145', 'NA', 'NA', '-0.251', '0.412', '-8.852', '-0.875', '1.592', '-1.969', '0.275', '0.067', '-0.417', '1029.67', 'NA']
['1552697222198', '192.168.50.145', '3.24', '10205FE010002C92', '-0.251', '0.412', '-8.852', '-0.875', '1.592', '-1.969', '0.275', '0.067', '-0.417', '1029.67', '-86']
['1552697222212', '192.168.50.145', '17.31', '10205FE0100031F3', '0.501', '1.542', '-7.929', '2.835', '5.591', '-3.596', '0.276', '0.073', '-0.410', '1029.75', '-103']
